epoch,lr,train_loss,val_loss,train_acc@1,train_acc@5,val_acc@1,val_acc@5
0.0,0.0003,6.5291163675413335,6.480588388821597,"tensor(0.3901, device='cuda:0')","tensor(1.5391, device='cuda:0')","tensor(1.5966, device='cuda:0')","tensor(4.5203, device='cuda:0')"
1.0,0.0003,6.418722743197424,6.337495811473446,"tensor(1.9353, device='cuda:0')","tensor(5.6161, device='cuda:0')","tensor(4.4888, device='cuda:0')","tensor(11.3853, device='cuda:0')"
2.0,0.0003,6.223424993367674,6.093199252972933,"tensor(4.7280, device='cuda:0')","tensor(12.2571, device='cuda:0')","tensor(7.2835, device='cuda:0')","tensor(18.2188, device='cuda:0')"
2.0,0.0003,5.7028410189903065,5.5779531416938255,10.725167804992935,25.540766309467735,12.176455417564934,27.872846617881684
3.0,0.0003,5.444425713718358,5.342174276787722,13.072781735751295,29.89891221149317,13.721443519610874,30.52713045083117
4.0,0.0003,5.197755314525545,5.1142102900534665,14.966475800753651,33.228700541686294,14.999856681341521,32.69985954686399
5.0,0.0003,4.974175716985019,4.923794258791347,16.77829133301931,36.02968234809232,16.269670651396186,35.01017571200877
6.0,0.0003,4.774632115325892,4.752672406045508,18.23480923221856,38.48493434997645,17.29010806678376,36.52649984497242
7.0,0.0003,4.602276880562559,4.613884123821785,19.614784503061706,40.549193358455014,18.379339013173613,38.15747987077622
8.0,0.0003,4.453143862413451,4.497221387112291,20.840754533678755,42.35880093028733,19.36251325522831,39.49608737500416
9.0,0.0003,4.325706193147266,4.390635113124709,21.858992286858218,43.95515632359868,20.193768449807873,40.80316450275545
10.0,0.0003,4.213623036318548,4.304500334410531,22.92838112341027,45.27864460668865,21.04222203003563,41.7261444093109
11.0,0.0003,4.115812178215102,4.233839086385032,23.82426106924164,46.53258213612812,21.489379995655895,42.758047415896016
12.0,0.0003,4.0323015691759,4.1621393631326535,24.568711728685823,47.476301224682054,22.289104822287676,43.43451715407526
13.0,0.0003,3.9551283028459294,4.105736713292972,25.30653850682996,48.48405116580311,22.644538078993694,44.27150514540171
14.0,0.0003,3.88569845302005,4.058033007960652,25.965246702779087,49.423170336787564,22.977040158662504,44.94510849029202
15.0,0.0003,3.8286153309984248,4.018759781767511,26.59469942298634,50.094022315120114,23.498724452141285,45.320606526809925
